NAME                                  CPU %               MEM %
coco-one-ros-dev                      171.00%             27.98%
streamer                              89.24%              1.39%
connectador                           11.47%              0.11%
driveui-streamer                      0.63%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    5.93%               0.49%
coco-host-handlers                    0.25%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.13%
coco-one-docker-cloudwatchlogs        1.26%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  76.80%              17.32%
coco-one-ros-dev                      163.73%             27.98%
streamer                              83.37%              1.39%
connectador                           11.50%              0.11%
driveui-streamer                      0.71%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    2.27%               0.49%
coco-host-handlers                    0.42%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.23%               0.13%
coco-one-docker-cloudwatchlogs        1.27%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  93.08%              17.32%
coco-one-ros-dev                      172.32%             27.98%
streamer                              82.84%              1.39%
connectador                           12.06%              0.11%
driveui-streamer                      0.67%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    1.63%               0.49%
coco-host-handlers                    0.28%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.37%               0.13%
coco-one-docker-cloudwatchlogs        1.21%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  81.85%              17.32%
coco-one-ros-dev                      177.54%             27.98%
streamer                              87.41%              1.39%
connectador                           11.17%              0.11%
driveui-streamer                      0.65%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.06%               0.08%
coco-file-uploader                    0.88%               0.49%
coco-host-handlers                    0.28%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.13%
coco-one-docker-cloudwatchlogs        1.31%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  90.99%              17.32%
coco-one-ros-dev                      226.43%             27.98%
streamer                              89.03%              1.39%
connectador                           11.55%              0.11%
driveui-streamer                      0.65%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    2.30%               0.49%
coco-host-handlers                    0.42%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.13%
coco-one-docker-cloudwatchlogs        1.37%               0.39%
