NAME                                  CPU %               MEM %
connectador                           12.84%              0.30%
driveui-streamer                      0.72%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      255.21%             26.69%
coco-host-handlers                    0.44%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.20%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  7.69%               2.61%
streamer                              92.75%              2.66%
connectador                           11.28%              0.30%
driveui-streamer                      0.76%               0.37%
gateway-streamer                      0.03%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      178.20%             26.69%
coco-host-handlers                    0.51%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.29%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.14%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.20%               2.61%
streamer                              94.28%              2.66%
connectador                           14.75%              0.30%
driveui-streamer                      0.78%               0.37%
gateway-streamer                      0.21%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      175.98%             26.69%
coco-host-handlers                    0.30%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.32%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.26%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.25%               2.61%
streamer                              97.20%              2.66%
connectador                           11.39%              0.30%
driveui-streamer                      0.80%               0.37%
gateway-streamer                      0.04%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      187.66%             26.69%
coco-host-handlers                    0.33%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.10%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.79%               2.61%
streamer                              94.66%              2.66%
connectador                           12.00%              0.31%
driveui-streamer                      0.91%               0.37%
gateway-streamer                      0.08%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      189.56%             26.70%
coco-host-handlers                    0.53%               0.40%
cocodriveuhandlers_driveu-scripts_1   0.34%               0.89%
coco-file-uploader                    0.00%               0.68%
coco-one-docker-cloudwatchlogs        1.11%               0.51%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  8.01%               2.61%
streamer                              94.07%              2.66%
connectador                           14.39%              0.31%
driveui-streamer                      0.74%               0.37%
gateway-streamer                      0.20%               0.17%
identity                              0.00%               0.11%
coco-one-ros-dev                      176.62%             26.69%
