NAME                                  CPU %               MEM %
coco-one-ros-dev                      123.95%             28.06%
streamer                              51.87%              1.39%
connectador                           2.54%               0.11%
driveui-streamer                      0.50%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.07%               0.08%
coco-file-uploader                    0.27%               0.49%
coco-host-handlers                    0.25%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.23%               0.13%
coco-one-docker-cloudwatchlogs        1.13%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  72.96%              17.32%
coco-one-ros-dev                      209.41%             28.06%
streamer                              54.53%              1.39%
connectador                           2.52%               0.11%
driveui-streamer                      0.47%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.30%               0.08%
coco-file-uploader                    5.78%               0.49%
coco-host-handlers                    0.32%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.13%
coco-one-docker-cloudwatchlogs        0.97%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  78.03%              17.32%
coco-one-ros-dev                      118.22%             28.06%
streamer                              50.04%              1.39%
connectador                           2.59%               0.11%
driveui-streamer                      0.43%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    4.37%               0.49%
coco-host-handlers                    0.49%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.30%               0.13%
coco-one-docker-cloudwatchlogs        1.08%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  78.08%              17.32%
coco-one-ros-dev                      123.21%             28.06%
streamer                              51.33%              1.39%
connectador                           3.84%               0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.03%               0.08%
coco-file-uploader                    6.28%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.26%               0.13%
coco-one-docker-cloudwatchlogs        1.04%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  75.48%              17.32%
coco-one-ros-dev                      124.36%             28.05%
streamer                              53.21%              1.39%
connectador                           2.78%               0.11%
driveui-streamer                      0.44%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.26%               0.08%
coco-file-uploader                    2.59%               0.49%
coco-host-handlers                    0.23%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.38%               0.13%
coco-one-docker-cloudwatchlogs        1.35%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  78.16%              17.32%
coco-one-ros-dev                      123.72%             28.06%
streamer                              53.15%              1.39%
connectador                           6.29%               0.11%
driveui-streamer                      0.46%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.05%               0.08%
coco-file-uploader                    4.77%               0.49%
coco-host-handlers                    0.44%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.32%               0.13%
coco-one-docker-cloudwatchlogs        1.11%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  71.46%              17.32%
coco-one-ros-dev                      122.79%             28.06%
streamer                              50.37%              1.39%
connectador                           2.50%               0.11%
driveui-streamer                      0.48%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.04%               0.08%
coco-file-uploader                    6.24%               0.49%
coco-host-handlers                    0.22%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.25%               0.13%
coco-one-docker-cloudwatchlogs        1.14%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  85.58%              17.32%
coco-one-ros-dev                      218.28%             28.06%
streamer                              52.73%              1.39%
connectador                           3.97%               0.11%
driveui-streamer                      0.41%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.28%               0.08%
coco-file-uploader                    1.47%               0.49%
coco-host-handlers                    0.22%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.31%               0.13%
coco-one-docker-cloudwatchlogs        0.95%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  73.55%              17.32%
coco-one-ros-dev                      122.55%             28.06%
streamer                              50.93%              1.39%
connectador                           6.08%               0.11%
driveui-streamer                      0.45%               0.05%
identity                              0.00%               0.04%
gateway-streamer                      0.09%               0.08%
coco-file-uploader                    8.49%               0.49%
coco-host-handlers                    0.45%               0.45%
cocodriveuhandlers_driveu-scripts_1   0.33%               0.13%
coco-one-docker-cloudwatchlogs        1.29%               0.39%
NAME                                  CPU %               MEM %
coco-autonomy-deploy                  77.33%              17.32%
